Stock,Day,Month,Year,Open,High,Low,Close
AMZN,24,Dec,2020,3193.899902,3202.000000,3169.000000,3172.689941
AMZN,28,Dec,2020,3194.000000,3304.000000,3172.689941,3283.959961
AMZN,29,Dec,2020,3309.939941,3350.649902,3281.219971,3322.000000
AMZN,30,Dec,2020,,,,
AMZN,31,Dec,2020,3275.000000,3282.919922,3241.199951,3256.929932
AMZN,04,Jan,2021,3270.000000,3272.000000,3144.020020,3186.629883
AMZN,05,Jan,2021,3166.010010,3223.379883,3165.060059,3218.510010
AMZN,06,Jan,2021,3146.479980,3197.510010,3131.159912,3138.379883
AMZN,07,Jan,2021,3157.000000,3208.540039,3155.000000,3162.159912
AMZN,08,Jan,2021,3180.000000,3190.639893,3142.199951,3182.699951
AMZN,11,Jan,2021,3148.010010,3156.379883,3110.000000,3114.209961
AMZN,12,Jan,2021,3120.000000,3142.139893,3086.000000,3120.830078
AMZN,13,Jan,2021,3128.439941,3189.949951,3122.080078,3165.889893
AMZN,14,Jan,2021,3167.520020,3178.000000,3120.590088,3127.469971
AMZN,15,Jan,2021,3123.020020,3142.550049,3095.169922,3104.250000
AMZN,19,Jan,2021,3107.000000,3145.000000,3096.000000,3120.760010
AMZN,20,Jan,2021,3181.989990,3279.800049,3175.000000,3263.379883
AMZN,21,Jan,2021,3293.000000,3348.550049,3289.570068,3306.989990
AMZN,22,Jan,2021,3304.310059,3321.909912,3283.159912,3292.229980
AMZN,25,Jan,2021,3328.500000,3363.889893,3243.149902,3294.000000
AMZN,26,Jan,2021,3296.360107,3338.000000,3282.870117,3326.129883
AMZN,27,Jan,2021,3341.489990,3346.520020,3207.080078,3232.580078
AMZN,28,Jan,2021,3235.040039,3301.679932,3228.689941,3237.620117
AMZN,29,Jan,2021,3230.000000,3236.989990,3184.550049,3206.199951
—,—,—,—,—,—,—,—
AMZN,01,Feb,2021,3242.360107,3350.260010,3235.030029,3342.879883
AMZN,02,Feb,2021,3380.000000,3427.739990,3361.129883,3380.000000
AMZN,03,Feb,2021,3425.010010,3434.000000,3308.620117,3312.530029
AMZN,04,Feb,2021,3330.000000,3347.000000,3277.750000,3331.000000
AMZN,05,Feb,2021,,,,
AMZN,08,Feb,2021,3358.500000,3365.000000,3304.000000,3322.939941
AMZN,09,Feb,2021,3312.489990,3338.000000,3297.840088,3305.000000
AMZN,10,Feb,2021,3314.000000,3317.949951,3254.000000,3286.580078
AMZN,11,Feb,2021,,,,
AMZN,12,Feb,2021,3250.000000,3280.250000,3233.310059,3277.709961
AMZN,16,Feb,2021,3254.050049,3308.300049,3253.590088,3268.949951
AMZN,17,Feb,2021,3263.600098,3320.909912,3259.500000,3308.639893
AMZN,18,Feb,2021,3282.419922,3338.000000,3273.939941,3328.229980
AMZN,19,Feb,2021,3328.229980,3333.500000,3245.750000,3249.899902
AMZN,22,Feb,2021,3208.129883,3232.320068,3172.260010,3180.739990
AMZN,23,Feb,2021,3127.030029,3204.729980,3093.600098,3194.500000
AMZN,24,Feb,2021,3166.750000,3171.229980,3125.379883,3159.530029
AMZN,25,Feb,2021,3136.739990,3178.260010,3047.760010,3057.159912
AMZN,26,Feb,2021,3095.199951,3122.439941,3036.699951,3092.929932
—,—,—,—,—,—,—,—
AMZN,01,Mar,2021,3127.889893,3149.560059,3097.989990,3146.139893
AMZN,02,Mar,2021,3143.469971,3163.520020,3087.120117,3094.530029
AMZN,03,Mar,2021,3081.179932,3107.780029,2995.000000,3005.000000
AMZN,04,Mar,2021,3012.000000,3058.129883,2945.429932,2977.570068
AMZN,05,Mar,2021,3005.000000,3009.000000,2881.000000,3000.459961
AMZN,08,Mar,2021,3015.000000,3064.590088,2951.310059,2951.949951
AMZN,09,Mar,2021,3017.989990,3090.959961,3005.149902,3062.850098
AMZN,10,Mar,2021,3098.449951,3116.459961,3030.050049,3057.639893
AMZN,11,Mar,2021,3104.010010,3131.780029,3082.929932,3113.590088
AMZN,12,Mar,2021,,,,
AMZN,15,Mar,2021,3074.570068,3082.239990,3032.090088,3081.679932
AMZN,16,Mar,2021,3104.969971,3128.909912,3075.860107,3091.860107
AMZN,17,Mar,2021,3073.219971,3173.050049,3070.219971,3135.729980
AMZN,18,Mar,2021,3101.000000,3116.629883,3025.000000,3027.989990
AMZN,19,Mar,2021,3029.229980,3077.290039,3016.629883,3074.959961
AMZN,22,Mar,2021,3067.850098,3126.580078,3060.050049,3110.870117
